Source.Name,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
RELIANCE_Data.csv,16-05-2022,EQ,2434.45,2481,2416.65,2426.6,2428.05,2427.2,2444.28,2856.15,1930.4,6201594,15158412714,244925,RELIANCE
RELIANCE_Data.csv,13-05-2022,EQ,2426,2478,2415.35,2399.4,2431.45,2426.6,2451.67,2856.15,1906,8910998,21846799849,408746,RELIANCE
RELIANCE_Data.csv,12-05-2022,EQ,2427.5,2434.85,2370,2449.3,2403.5,2399.4,2400.6,2856.15,1906,9456280,22700752367,359540,RELIANCE
RELIANCE_Data.csv,11-05-2022,EQ,2472.65,2484.95,2421.95,2474.65,2450.75,2449.3,2454.29,2856.15,1906,7681157,18851760949,325039,RELIANCE
RELIANCE_Data.csv,10-05-2022,EQ,2495,2526.6,2458,2518.3,2461.7,2474.65,2495.14,2856.15,1906,9004636,22467846481,329083,RELIANCE
RELIANCE_Data.csv,09-05-2022,EQ,2574.95,2597.1,2507,2620.65,2508,2518.3,2540.75,2856.15,1906,8345649,21204215137,344258,RELIANCE
RELIANCE_Data.csv,06-05-2022,EQ,2612.2,2659,2593.55,2640.9,2628,2620.65,2619.88,2856.15,1906,9068448,23758282133,291431,RELIANCE
RELIANCE_Data.csv,05-05-2022,EQ,2723.5,2730,2632,2693.65,2643,2640.9,2677.81,2856.15,1906,7942721,21269098539,256514,RELIANCE
RELIANCE_Data.csv,04-05-2022,EQ,2785,2790,2676.3,2780.45,2692,2693.65,2728.03,2856.15,1906,8882792,24232482662,277638,RELIANCE
RELIANCE_Data.csv,02-05-2022,EQ,2762,2805.5,2758.05,2790.25,2780.9,2780.45,2783.29,2856.15,1906,4369022,12160268320,189251,RELIANCE
RELIANCE_Data.csv,29-04-2022,EQ,2856.15,2856.15,2777.3,2819.85,2799.7,2790.25,2817.63,2856.15,1906,8406156,23685432933,231044,RELIANCE
RELIANCE_Data.csv,28-04-2022,EQ,2809.95,2851,2786.1,2778.35,2810,2819.85,2823.91,2851,1906,11820892,33381106175,361970,RELIANCE
RELIANCE_Data.csv,27-04-2022,EQ,2755.85,2828,2755.05,2775.65,2776,2778.35,2794.98,2828,1906,8924920,24944937713,380463,RELIANCE
RELIANCE_Data.csv,26-04-2022,EQ,2710,2795,2707.7,2695,2788.2,2775.65,2744.48,2802,1906,5643066,15487283097,215190,RELIANCE
RELIANCE_Data.csv,25-04-2022,EQ,2742.4,2758.4,2663.65,2758.8,2696,2695,2711.2,2802,1906,7874671,21349802724,282246,RELIANCE
RELIANCE_Data.csv,22-04-2022,EQ,2758.9,2802,2744.2,2782.1,2762,2758.8,2768.55,2802,1876.7,6947490,19234486953,221036,RELIANCE
RELIANCE_Data.csv,21-04-2022,EQ,2750.9,2789,2732,2718.45,2782,2782.1,2773.48,2789,1876.7,10018531,27786222124,352010,RELIANCE
RELIANCE_Data.csv,20-04-2022,EQ,2657.1,2734,2649.1,2640.8,2717.5,2718.45,2710.69,2751.35,1876.7,11570835,31364925329,461685,RELIANCE
RELIANCE_Data.csv,19-04-2022,EQ,2558,2668,2551.05,2543.85,2626,2640.8,2628.35,2751.35,1876.7,12064446,31709558938,459863,RELIANCE
RELIANCE_Data.csv,18-04-2022,EQ,2533,2559.8,2521.8,2551.65,2540.2,2543.85,2538.38,2751.35,1876.7,4603103,11684440905,222881,RELIANCE
RELIANCE_Data.csv,13-04-2022,EQ,2574.5,2592.6,2545.5,2561.05,2551.9,2551.65,2565.29,2751.35,1876.7,4778478,12258158723,192467,RELIANCE
RELIANCE_Data.csv,12-04-2022,EQ,2587,2602.6,2555.4,2610.2,2560,2561.05,2571.18,2751.35,1876.7,6099986,15684139811,277354,RELIANCE
RELIANCE_Data.csv,11-04-2022,EQ,2600,2638.55,2583,2615.65,2610.95,2610.2,2606.45,2751.35,1876.7,4270816,11131687285,195602,RELIANCE
RELIANCE_Data.csv,08-04-2022,EQ,2560,2625,2560,2572.85,2617.95,2615.65,2602.86,2751.35,1876.7,6992874,18201444977,213226,RELIANCE
RELIANCE_Data.csv,07-04-2022,EQ,2595.1,2606,2567,2619.05,2572.2,2572.85,2583.1,2751.35,1876.7,7151632,18473348627,233582,RELIANCE
RELIANCE_Data.csv,06-04-2022,EQ,2587.1,2634.5,2587.1,2626.05,2616,2619.05,2613.61,2751.35,1876.7,5656703,14784387494,163311,RELIANCE
RELIANCE_Data.csv,05-04-2022,EQ,2651.1,2669.9,2620.7,2663.7,2626,2626.05,2636.9,2751.35,1876.7,6068663,16002466152,204933,RELIANCE
RELIANCE_Data.csv,04-04-2022,EQ,2655.45,2675,2641.65,2655.85,2660.65,2663.7,2658.17,2751.35,1876.7,3659307,9727052260,167593,RELIANCE
RELIANCE_Data.csv,01-04-2022,EQ,2636,2665.15,2622,2634.75,2661,2655.85,2641.48,2751.35,1876.7,3656408,9658325027,163060,RELIANCE
RELIANCE_Data.csv,31-03-2022,EQ,2664.95,2669.7,2628.6,2672.95,2636,2634.75,2642,2751.35,1876.7,6102744,16123465625,249443,RELIANCE
RELIANCE_Data.csv,30-03-2022,EQ,2639.9,2688,2617.1,2622.55,2658.7,2672.95,2661.36,2751.35,1876.7,7297028,19420019029,219316,RELIANCE
RELIANCE_Data.csv,29-03-2022,EQ,2638,2638,2607.4,2621.95,2618,2622.55,2623,2751.35,1876.7,4007695,10512198456,203830,RELIANCE
RELIANCE_Data.csv,28-03-2022,EQ,2610,2629.75,2586.5,2595.85,2617,2621.95,2611.69,2751.35,1876.7,4564891,11922093056,183261,RELIANCE
RELIANCE_Data.csv,25-03-2022,EQ,2582.5,2616,2577,2578.65,2600.9,2595.85,2596.66,2751.35,1876.7,6563676,17043606171,276908,RELIANCE
RELIANCE_Data.csv,24-03-2022,EQ,2510,2584.15,2510,2539.2,2572,2578.65,2557.8,2751.35,1876.7,6077153,15544115850,221309,RELIANCE
RELIANCE_Data.csv,23-03-2022,EQ,2523,2564.85,2523,2531.15,2535,2539.2,2546.52,2751.35,1876.7,7135797,18171479956,235853,RELIANCE
RELIANCE_Data.csv,22-03-2022,EQ,2460.1,2534.95,2453.6,2467.4,2528,2531.15,2508.41,2751.35,1876.7,10410082,26112751092,314410,RELIANCE
RELIANCE_Data.csv,21-03-2022,EQ,2444,2484,2439,2481.7,2463,2467.4,2465.17,2751.35,1876.7,5537752,13651502305,235063,RELIANCE
RELIANCE_Data.csv,17-03-2022,EQ,2432.75,2497.4,2415.1,2403.35,2487.5,2481.7,2456.66,2751.35,1876.7,9886295,24287296550,274442,RELIANCE
RELIANCE_Data.csv,16-03-2022,EQ,2382,2407.9,2377.1,2363.45,2401.5,2403.35,2396.17,2751.35,1876.7,5145644,12329854279,185464,RELIANCE
RELIANCE_Data.csv,15-03-2022,EQ,2427.95,2427.95,2340.85,2418.85,2362,2363.45,2386.09,2751.35,1876.7,7349740,17537136612,257511,RELIANCE
RELIANCE_Data.csv,14-03-2022,EQ,2386.9,2424.4,2374,2399.15,2422.2,2418.85,2401.52,2751.35,1876.7,3849222,9243998854,160500,RELIANCE
RELIANCE_Data.csv,11-03-2022,EQ,2376.05,2411,2376.05,2392.25,2393.15,2399.15,2396.11,2751.35,1876.7,5656799,13554290819,199494,RELIANCE
RELIANCE_Data.csv,10-03-2022,EQ,2400,2405,2360,2354.1,2387,2392.25,2386.79,2751.35,1876.7,8297995,19805599253,278083,RELIANCE
RELIANCE_Data.csv,09-03-2022,EQ,2236,2367,2234.15,2235.5,2358.3,2354.1,2316.35,2751.35,1876.7,9421163,21822706478,325395,RELIANCE
RELIANCE_Data.csv,08-03-2022,EQ,2211.5,2246,2180,2239.55,2235.05,2235.5,2220.15,2751.35,1876.7,9825043,21813021865,428117,RELIANCE
RELIANCE_Data.csv,07-03-2022,EQ,2278.7,2312.1,2222,2325.55,2240.05,2239.55,2256.84,2751.35,1876.7,8299295,18730168161,372828,RELIANCE
RELIANCE_Data.csv,04-03-2022,EQ,2353,2364.3,2320.35,2378.3,2327.95,2325.55,2338.2,2751.35,1876.7,4986814,11660149353,219860,RELIANCE
RELIANCE_Data.csv,03-03-2022,EQ,2400,2414.85,2370.05,2398.55,2382,2378.3,2392.27,2751.35,1876.7,4701183,11246476349,230143,RELIANCE
RELIANCE_Data.csv,02-03-2022,EQ,2334.45,2401,2329.2,2359.55,2399.25,2398.55,2376.69,2751.35,1876.7,9909226,23551157614,309328,RELIANCE
RELIANCE_Data.csv,28-02-2022,EQ,2243,2367.35,2243,2283.95,2355,2359.55,2328.64,2751.35,1876.7,9828768,22887683561,240020,RELIANCE
RELIANCE_Data.csv,25-02-2022,EQ,2280.1,2307.95,2276.25,2255.75,2283,2283.95,2290.84,2751.35,1876.7,6724094,15403844189,281047,RELIANCE
